"Ciudad","Salud","Transporte","Educación"
"Arauca",-0.125062256633579,-1.34408829122398,-1.02832100444213
"Armenia",0.434313749849581,0.691669368179472,0.528710817565864
"Barrancabermeja",-0.752697327974451,-0.0935818953626274,0.966586164681178
"Barranquilla",-0.85942019169445,0.27533202856228,0.503810115069595
"Bogotá",2.74521652660369,2.31339465541169,3.9439692690703
"Bucaramanga y A.M.",0.823817198786173,0.978385579622834,0.7850723452694
"Buenaventura",-0.397006643543614,-0.370080751976715,-1.15069729214938
"Cali",1.38672064576196,0.729132630427273,0.695139270202449
"Cartagena",-0.373467989275905,0.494123992308773,-0.423486295414318
"Cúcuta y A.M.",-0.473443537421969,-0.312673796310785,-0.790484371345553
"Florencia",-0.754766345790845,-0.245633691793097,-0.948150512681097
"Ibagué",1.09352619550006,0.175362693758751,0.0541331019133153
"Inírida",-0.482839161823739,-1.49091074224649,1.47024626963169
"Leticia",-1.38692629010549,-1.40518988801783,0.232749129181963
"Manizales y A.M.",0.934721973813977,1.54332728596564,0.725323585236192
"Medellín y A.M.",1.48967901201404,1.39605616778302,0.930523335479901
"Mitú",-1.46919005434848,-1.6168328892352,-1.00459468691944
"Mocoa",0.419617591485391,-0.675928871833811,-0.307285513539006
"Montería",-1.10802677459202,-0.521450441347988,-0.336597632097435
"Neiva",0.229609259544134,0.678781664188606,0.490738188676371
"Pasto",0.917817302458957,0.340990604540073,0.322496526068976
"Pereira y A.M.",0.0563612222810139,0.293228658196288,0.393518134416858
"Popayán",1.1345544846749,-0.223084194807554,-0.619911169448446
"Puerto Carreño",-0.928910764736485,-1.26990400588002,-0.384468493680373
"Quibdó",-1.27251605583419,-1.10591383893405,-1.65663654220441
"Riohacha",-0.642128653433663,-0.459342658136304,-0.638040110944463
"Rionegro",0.0385665275289418,2.1956651646727,-0.472298765122971
"San Andrés",-0.994324226973507,0.511499679108229,0.0539074574200197
"San José del Guaviare",0.448209705210303,-1.20722777098819,0.251570208572708
"Santa Marta",-1.20772215706943,-0.53424372042469,-0.776533795265743
"Sincelejo",-0.0202696055827991,-0.227655836870943,-0.481195055053483
"Soledad",-1.17154195178525,-0.318064442883588,-1.28146134673088
"Tumaco",-0.48531531183809,-1.17966123326311,-0.800205679644164
"Tunja",1.84873932983196,1.53580775639675,0.749102145172004
"Valledupar",-0.274067888205608,-0.256269798204191,-0.292478238690267
"Villavicencio",1.02565949253811,0.870633187140826,-0.0444052173751286
"Yopal",0.500194114778174,0.0246867293058956,1.08349113346166
"Yumbo",-0.347681143997789,-0.190339085827943,-0.743835474341759
